athlete_id,athlete_name,gender,age,date_of_birth,nationality,country_name,sport,event,games_type,year,host_city,team_or_individual,medal,result_value,result_unit,total_olympics_attended,total_medals_won,gold_medals,silver_medals,bronze_medals,country_total_gold,country_total_medals,country_first_participation,country_best_rank,is_record_holder,coach_name,height_cm,weight_kg,notes
ATH-00001,Svetlana Jung,Female,19,2005-12-04,AUT,Austria,Rowing,Four W,Summer,1896,Athens,Team,No Medal,494.699,seconds,1,8,1,6,1,59,196,1896,18,No,Wei Ping,175.9,73.7,-
ATH-00002,Mary Yamamoto,Female,37,1987-07-11,MEX,Mexico,Ski Jumping,Normal Hill Team,Winter,1960,Squaw Valley,Individual,Silver,132.463,metres,4,6,0,1,5,14,72,1924,35,No,Yury Zakharevich,165.4,68.3,Olympic Debut
ATH-00003,Oksana Volkov,Female,37,1987-02-02,BUL,Bulgaria,Figure Skating,Women's Singles,Winter,1932,Lake Placid,Individual,No Medal,215.67,points,4,1,0,0,1,54,224,1896,15,No,Alberto Salazar,164.2,67.2,-
ATH-00004,Rui Suzuki,Male,32,1992-12-08,HKG,Hong Kong,Triathlon,Men's Triathlon,Summer,2012,London,Individual,No Medal,4470.383,seconds,3,4,4,0,0,3,9,1952,60,Olympic Record,Marcus O'Sullivan,190.0,76.0,First from country
ATH-00005,Natalya Grigoryan,Female,27,1997-11-15,SWE,Sweden,Triathlon,Men's Triathlon,Summer,1900,Paris,Individual,No Medal,7390.643,seconds,5,3,2,1,0,200,648,1896,4,No,John Smith,175.8,60.9,Season Best
ATH-00006,Bogdan Bekele,Male,34,1990-02-13,RSA,South Africa,Rowing,Single Sculls W,Summer,1904,St. Louis,Individual,No Medal,544.464,seconds,1,7,4,0,3,23,90,1904,30,No,Jon Drummond,195.5,86.5,Youngest competitor
ATH-00007,Monika Ito,Female,31,1993-02-28,USA,United States,Volleyball,Men's Beach Volleyball,Summer,1996,Atlanta,Team,No Medal,24.466,points,3,8,3,1,4,1061,2638,1896,1,No,Bob Bowman,200.5,86.6,-
ATH-00008,Elnur Shah,Male,41,1983-05-08,URS,Soviet Union,Alpine Skiing,Downhill M,Winter,1992,Albertville,Individual,No Medal,115.872,seconds,1,1,0,1,0,473,1122,1952,1,No,Yury Zakharevich,189.4,81.3,Disqualified (false start)
ATH-00009,Natalya Mammadov,Female,39,1985-12-23,TPE,Chinese Taipei,Canoe/Kayak,K-4 500m M,Summer,2000,Sydney,Individual,No Medal,216.432,seconds,4,6,5,1,0,7,25,1956,45,Olympic Record,Bob Bowman,194.5,78.1,-
ATH-00010,Matthew Martin,Male,22,2002-02-02,NED,Netherlands,Archery,Team M,Summer,2004,Athens,Individual,Gold,254.58,points,2,3,2,1,0,121,380,1900,7,No,Arthur Lydiard,178.7,83.9,Withdrew - injury
ATH-00011,Meseret Haile,Female,29,1995-12-02,BUL,Bulgaria,Boxing,Bantamweight,Summer,1900,Paris,Individual,Gold,2.688,points,2,6,1,1,4,54,224,1896,15,No,Renato Canova,163.2,67.3,National Record
ATH-00012,Sun Mammadov,Male,41,1983-01-03,AUS,Australia,Bobsled,4-man M,Winter,1998,Nagano,Team,Bronze,48.414,seconds,4,8,7,0,1,170,554,1896,4,No,Virgilijus Alekna,197.1,78.2,Oldest medalist
ATH-00013,Michelle Popov,Female,24,2000-04-02,NZL,New Zealand,Taekwondo,-49kg W,Summer,1920,Antwerp,Individual,No Medal,1.796,points,5,0,0,0,0,46,116,1908,25,No,Li Yongbo,192.0,73.4,Disqualified (false start)
ATH-00014,Romain Dibaba,Male,33,1991-04-19,CHN,China,Weightlifting,+109kg,Summer,2004,Athens,Individual,Gold,213.54,kg,3,1,1,0,0,263,636,1932,1,No,Tadashi Suzuki,163.2,123.0,-
ATH-00015,John Constantin,Male,34,1990-10-04,CUB,Cuba,Fencing,Sabre Individual M,Summer,1996,Atlanta,Individual,No Medal,4.99,touches,3,8,4,1,3,82,226,1900,8,No,Yury Zakharevich,193.7,90.2,-
ATH-00016,Jiajun Batjargal,Male,24,2000-11-04,GEO,Georgia,Fencing,Epee Individual M,Summer,2004,Athens,Team,No Medal,10.625,touches,3,1,0,1,0,7,30,1996,44,No,Andrei Socaci,183.8,83.7,Photo-finish silver
ATH-00017,Christopher Bekele,Male,41,1983-05-02,DPR,North Korea,Canoe/Kayak,K-1 200m M,Summer,2024,Paris,Individual,No Medal,308.12,seconds,2,2,2,0,0,16,54,1964,35,World Record,John Smith,188.9,82.1,-
ATH-00018,Nataliya Batjargal,Female,19,2005-07-05,GBR,Great Britain,Basketball,Men's Basketball,Summer,2000,Sydney,Team,No Medal,27.395,points,2,0,0,0,0,285,896,1896,2,No,Khristo Hristov,200.0,91.2,-
ATH-00019,Tigran Tanaka,Male,40,1984-03-14,HKG,Hong Kong,Basketball,Men's Basketball,Summer,2024,Paris,Team,Bronze,9.324,points,2,6,3,2,1,3,9,1952,60,No,Li Yongbo,182.0,117.2,Photo-finish silver
ATH-00020,Valentina Yoon,Female,22,2002-01-22,SUI,Switzerland,Archery,Individual W,Summer,1906,Athens,Individual,No Medal,296.354,points,3,4,0,2,2,70,203,1896,12,No,Gennadi Touretski,181.9,71.0,Disqualified (false start)
ATH-00021,Sandrine Hernandez,Female,28,1996-10-17,GBR,Great Britain,Canoe/Kayak,K-1 1000m M,Summer,1896,Athens,Individual,No Medal,364.611,seconds,4,3,2,0,1,285,896,1896,2,No,Anna Tarkhanova,163.1,97.0,-
ATH-00022,Kamran Sanchez,Male,34,1990-06-22,DEN,Denmark,Tennis,Men's Singles,Summer,1912,Stockholm,Individual,No Medal,3.772,sets,4,4,4,0,0,66,260,1896,10,No,Tadashi Suzuki,174.4,82.9,First from country
ATH-00023,Asha Babayev,Female,41,1983-01-10,CZE,Czech Republic,Judo,Middleweight,Summer,2004,Athens,Individual,Bronze,8.144,ippon,4,5,3,1,1,32,114,1996,28,No,Anna Tarkhanova,183.0,74.6,Disqualified (false start)
ATH-00024,Lisa Kwon,Female,36,1988-05-08,ESP,Spain,Wrestling,Freestyle 86kg,Summer,1908,London,Individual,Silver,4.73,points,5,1,0,1,0,50,170,1900,18,No,Alberto Salazar,189.4,60.8,-
ATH-00025,George Johnson,Male,39,1985-02-25,GRE,Greece,Figure Skating,Ice Dance,Winter,1992,Albertville,Individual,Bronze,232.163,points,5,8,7,0,1,34,116,1896,10,No,Tadashi Suzuki,163.2,74.7,-
ATH-00026,Camelia Kaminski,Female,20,2004-12-28,THA,Thailand,Alpine Skiing,Giant Slalom W,Winter,1988,Calgary,Individual,No Medal,167.862,seconds,2,3,2,1,0,13,35,1952,40,No,Marcus O'Sullivan,170.4,63.1,-
ATH-00027,Paolo Zhao,Male,37,1987-04-03,AUS,Australia,Wrestling,Greco-Roman 60kg,Summer,1904,St. Louis,Individual,No Medal,9.144,points,1,8,7,1,0,170,554,1896,4,No,Wei Ping,165.7,88.6,Personal Best
ATH-00028,Giulia Adeyemi,Female,42,1982-07-18,USA,United States,Figure Skating,Team Event,Winter,1992,Albertville,Individual,No Medal,210.503,points,3,3,3,0,0,1061,2638,1896,1,No,Percy Cerutty,169.4,46.0,-
ATH-00029,Gantulga Aliyev,Male,15,2009-07-19,MEX,Mexico,Volleyball,Men's Indoor Volleyball,Summer,2020,Tokyo,Team,Silver,10.292,points,2,6,1,3,2,14,72,1924,35,No,Vladimir Alekna,172.0,80.2,First from country
ATH-00030,Ekaterina Phelps,Female,30,1994-01-24,SNG,Singapore,Triathlon,Mixed Relay,Summer,2016,Rio de Janeiro,Individual,Gold,4357.571,seconds,1,5,1,0,4,1,5,1948,62,Olympic Record,Dan Pfaff,187.1,80.6,Technical violation
ATH-00031,Arsen Lee,Male,29,1995-12-09,IRI,Iran,Football (Soccer),Women's Football,Summer,1996,Atlanta,Team,Bronze,8.637,goals,1,2,0,1,1,19,60,1948,34,No,Percy Cerutty,181.5,87.9,First from country
ATH-00032,Mark Romano,Male,42,1982-11-20,AUT,Austria,Tennis,Men's Singles,Summer,1900,Paris,Individual,No Medal,1.063,sets,3,0,0,0,0,59,196,1896,18,No,Valentin Lalev,164.6,80.9,Olympic Debut
ATH-00033,Gunel Zhao,Female,28,1996-03-24,PAK,Pakistan,Luge,Men's Doubles,Winter,1976,Innsbruck,Individual,No Medal,177.46,seconds,4,8,7,1,0,10,22,1948,45,No,John Smith,187.8,82.9,Equipment issue
ATH-00034,Aurelie Wilson,Female,30,1994-06-06,IND,India,Bobsled,2-woman W,Winter,1960,Squaw Valley,Team,Bronze,49.949,seconds,5,4,2,1,1,10,35,1900,48,No,John Smith,191.0,83.8,Technical violation
ATH-00035,Florent Shevchenko,Male,35,1989-12-16,NGR,Nigeria,Ski Jumping,Mixed Team,Winter,1992,Albertville,Individual,No Medal,110.762,metres,4,1,1,0,0,13,32,1952,40,No,Arthur Lydiard,180.3,55.3,-
ATH-00036,Sofia Greco,Female,23,2001-04-04,MGL,Mongolia,Biathlon,Mass Start M,Winter,1976,Innsbruck,Individual,No Medal,3557.123,seconds,2,8,2,1,5,3,21,1964,52,No,Jon Drummond,186.6,68.2,Technical violation
ATH-00037,Ondrej Aliyev,Male,19,2005-05-02,CUB,Cuba,Speed Skating,500m M,Winter,1952,Oslo,Individual,No Medal,543.788,seconds,1,2,2,0,0,82,226,1900,8,No,Lauren Lynde,190.9,79.2,Equipment issue
ATH-00038,Magdalena Robinson,Female,33,1991-11-22,FRA,France,Skeleton,Men's Skeleton,Winter,1936,Garmisch-Partenkirchen,Individual,Silver,138.611,seconds,1,4,0,1,3,248,844,1896,3,No,Vladimir Alekna,179.7,78.7,-
ATH-00039,Halyna Kiros,Female,24,2000-10-20,MEX,Mexico,Figure Skating,Men's Singles,Winter,1988,Calgary,Individual,No Medal,181.286,points,3,1,0,0,1,14,72,1924,35,No,Bob Bowman,176.8,50.5,Youngest competitor
ATH-00040,Maria Moore,Female,22,2002-05-23,BLR,Belarus,Bobsled,Monobob W,Winter,2018,PyeongChang,Team,No Medal,168.011,seconds,2,7,1,5,1,24,75,1996,33,No,Alberto Salazar,197.7,109.4,Youngest competitor
ATH-00041,Elmar Martin,Male,41,1983-03-03,NED,Netherlands,Rowing,Single Sculls M,Summer,2000,Sydney,Individual,Bronze,586.242,seconds,4,5,4,0,1,121,380,1900,7,No,Valentin Lalev,178.7,92.5,Oldest medalist
ATH-00042,Anahit Gonzalez,Female,34,1990-05-01,GBR,Great Britain,Wrestling,Freestyle 65kg,Summer,2004,Athens,Individual,Bronze,9.245,points,2,1,0,0,1,285,896,1896,2,No,Andrei Chemerkin,175.4,107.1,Youngest competitor
ATH-00043,Tirunesh Silva,Female,25,1999-11-04,RSA,South Africa,Freestyle Skiing,Ski Cross M,Winter,1932,Lake Placid,Individual,No Medal,61.358,points,5,7,4,3,0,23,90,1904,30,No,Vladimir Alekna,161.1,58.1,First from country
ATH-00044,Jessica Popov,Female,31,1993-06-20,RSA,South Africa,Short Track Speed Skating,3000m Relay W,Winter,1924,Chamonix,Individual,No Medal,88.028,seconds,5,0,0,0,0,23,90,1904,30,No,Khristo Hristov,161.5,60.6,Technical violation
ATH-00045,Giorgi Gebrselassie,Male,17,2007-04-27,GRE,Greece,Volleyball,Men's Indoor Volleyball,Summer,1908,London,Team,No Medal,25.868,points,3,1,0,1,0,34,116,1896,10,No,Renato Canova,190.4,75.9,Oldest medalist
ATH-00046,Tigran Martinez,Male,23,2001-07-11,SWE,Sweden,Basketball,3x3 Men's,Summer,1920,Antwerp,Team,No Medal,10.944,points,5,4,2,2,0,200,648,1896,4,No,Franz Stampfl,215.0,99.4,Record broken next day
ATH-00047,Gantulga Müller,Male,33,1991-07-08,BUL,Bulgaria,Figure Skating,Ice Dance,Winter,1988,Calgary,Individual,Gold,240.412,points,2,7,6,1,0,54,224,1896,15,No,Li Yongbo,171.3,46.3,Olympic Debut
ATH-00048,Patricia Liu,Female,28,1996-11-05,COL,Colombia,Bobsled,2-man M,Winter,1936,Garmisch-Partenkirchen,Team,No Medal,211.65,seconds,4,4,2,2,0,8,24,1932,48,No,Percy Cerutty,189.5,112.6,Record broken next day
ATH-00049,Lars Rossi,Male,22,2002-12-03,GBR,Great Britain,Freestyle Skiing,Moguls W,Winter,1998,Nagano,Individual,No Medal,85.826,points,3,1,1,0,0,285,896,1896,2,No,Franz Stampfl,187.1,56.6,Youngest competitor
ATH-00050,Gabriela Kato,Female,20,2004-03-03,GRE,Greece,Basketball,3x3 Women's,Summer,1906,Athens,Team,No Medal,15.213,points,2,3,3,0,0,34,116,1896,10,World Record,Virgilijus Alekna,190.8,85.2,Oldest medalist
ATH-00051,Matthew Kowalczyk,Male,26,1998-10-10,AUT,Austria,Taekwondo,-80kg M,Summer,2008,Beijing,Individual,No Medal,6.339,points,4,7,4,1,2,59,196,1896,18,No,Jon Drummond,189.6,53.9,-
ATH-00052,Elena Williams,Female,33,1991-11-25,GRE,Greece,Taekwondo,-49kg W,Summer,1896,Athens,Individual,No Medal,3.662,points,5,7,4,1,2,34,116,1896,10,No,Vladimir Alekna,187.7,59.1,-
ATH-00053,Walter Wójcik,Male,16,2008-10-12,AUS,Australia,Football (Soccer),Men's Football,Summer,2008,Beijing,Team,Silver,8.091,goals,4,4,2,2,0,170,554,1896,4,No,Andrei Socaci,168.6,64.0,-
ATH-00054,Alexandra Esposito,Female,38,1986-06-26,JPN,Japan,Triathlon,Men's Triathlon,Summer,2020,Tokyo,Individual,No Medal,4989.945,seconds,4,1,0,0,1,170,497,1912,3,No,Bob Bowman,194.0,76.7,Equipment issue
ATH-00055,Nataliya Yadav,Female,41,1983-11-12,ESP,Spain,Rowing,Double Sculls M,Summer,1996,Atlanta,Individual,No Medal,578.253,seconds,5,7,0,5,2,50,170,1900,18,No,Arthur Lydiard,181.6,67.5,Olympic Debut
ATH-00056,Karolina Gebremariam,Female,18,2006-04-18,USA,United States,Football (Soccer),Men's Football,Summer,1896,Athens,Team,No Medal,6.223,goals,5,5,5,0,0,1061,2638,1896,1,No,Valentin Lalev,186.8,64.6,-
ATH-00057,Natalya Kowalczyk,Female,29,1995-04-28,GBR,Great Britain,Ski Jumping,Normal Hill Team,Winter,1964,Innsbruck,Team,Silver,141.686,metres,1,5,4,1,0,285,896,1896,2,No,John Smith,173.0,52.6,-
ATH-00058,Thomas Silva,Male,22,2002-03-26,RSA,South Africa,Shooting,Skeet M,Summer,2008,Beijing,Individual,Bronze,235.181,points,2,8,3,4,1,23,90,1904,30,No,Khristo Hristov,186.8,64.3,Personal Best
ATH-00059,Nino Fischer,Male,40,1984-03-04,HUN,Hungary,Triathlon,Mixed Relay,Summer,2020,Tokyo,Individual,No Medal,4608.397,seconds,2,2,0,1,1,182,536,1896,5,No,Arthur Lydiard,181.8,55.4,-
ATH-00060,Faith Shah,Female,31,1993-10-04,CHN,China,Rowing,Double Sculls W,Summer,2012,London,Individual,No Medal,462.306,seconds,1,0,0,0,0,263,636,1932,1,No,Wei Ping,176.8,84.2,Oldest medalist
ATH-00061,Darya Yang,Female,17,2007-03-09,FRA,France,Weightlifting,+109kg,Summer,2024,Paris,Individual,No Medal,341.899,kg,5,8,5,3,0,248,844,1896,3,No,Wei Ping,176.2,98.1,Olympic Debut
ATH-00062,Julien Santos,Male,41,1983-08-13,CUB,Cuba,Shooting,10m Air Rifle W,Summer,1920,Antwerp,Individual,No Medal,251.528,points,3,5,3,1,1,82,226,1900,8,Olympic Record,Bao Chünlai,172.4,61.1,National Record
ATH-00063,Kimberly Gantulga,Female,16,2008-10-18,FRA,France,Wrestling,Greco-Roman 97kg,Summer,1920,Antwerp,Individual,No Medal,9.716,points,4,1,1,0,0,248,844,1896,3,No,Franz Stampfl,190.1,112.7,Olympic Debut
ATH-00064,Olga Farah,Female,26,1998-09-12,HUN,Hungary,Short Track Speed Skating,1000m M,Winter,1956,Cortina d'Ampezzo,Individual,No Medal,49.929,seconds,5,3,3,0,0,182,536,1896,5,No,Vladimir Alekna,183.1,76.9,Weather-affected
ATH-00065,Hovhannes Liu,Male,33,1991-11-13,USA,United States,Biathlon,Pursuit M,Winter,1976,Innsbruck,Individual,Silver,2085.602,seconds,4,1,0,1,0,1061,2638,1896,1,No,Andrei Chemerkin,176.4,70.6,-
ATH-00066,Liang Jackson,Male,36,1988-02-09,GER,Germany,Wrestling,Greco-Roman 77kg,Summer,2024,Paris,Individual,No Medal,4.107,points,3,7,7,0,0,275,854,1896,2,No,Tadashi Suzuki,166.0,96.0,-
ATH-00067,Susan Choi,Female,27,1997-10-02,EGY,Egypt,Freestyle Skiing,Moguls M,Winter,1994,Lillehammer,Individual,Bronze,83.616,points,3,3,1,1,1,8,28,1912,45,No,Percy Cerutty,169.8,55.3,-
ATH-00068,Emily Kamau,Female,42,1982-12-02,BEL,Belgium,Archery,Team W,Summer,2000,Sydney,Individual,Gold,246.91,points,5,1,1,0,0,43,158,1900,20,Olympic Record,Marcus O'Sullivan,174.5,80.6,Disqualified (false start)
ATH-00069,Lisa Wiśniewski,Female,42,1982-02-08,DPR,North Korea,Curling,Women's Curling,Winter,2018,PyeongChang,Team,No Medal,9.57,points,3,8,1,6,1,16,54,1964,35,No,Hiroshi Hoketsu,187.4,73.9,Olympic Debut
ATH-00070,Naira Yang,Female,22,2002-02-05,ESP,Spain,Short Track Speed Skating,500m W,Winter,1956,Cortina d'Ampezzo,Individual,Bronze,348.832,seconds,2,3,2,0,1,50,170,1900,18,No,Sandor Szabo,183.7,70.8,-
ATH-00071,Arjun Martinez,Male,30,1994-08-21,CUB,Cuba,Alpine Skiing,Combined M,Winter,2010,Vancouver,Individual,No Medal,194.84,seconds,3,0,0,0,0,82,226,1900,8,No,Hiroshi Hoketsu,175.5,61.5,National Record
ATH-00072,Vikram Navruzov,Male,35,1989-04-11,IND,India,Short Track Speed Skating,3000m Relay W,Winter,1980,Lake Placid,Team,No Medal,54.127,seconds,3,0,0,0,0,10,35,1900,48,No,Sandor Szabo,184.5,54.5,-
ATH-00073,Nisha Gebrselassie,Female,39,1985-06-22,CAN,Canada,Volleyball,Men's Indoor Volleyball,Summer,1912,Stockholm,Team,No Medal,11.3,points,1,5,0,2,3,118,381,1900,6,No,Khristo Hristov,192.3,80.5,Final Appearance
ATH-00074,Valentina Mwangi,Female,19,2005-10-23,JPN,Japan,Biathlon,Pursuit M,Winter,1932,Lake Placid,Team,No Medal,2821.255,seconds,2,6,5,1,0,170,497,1912,3,No,Franz Stampfl,184.4,88.7,Personal Best
ATH-00075,Luis Melnyk,Male,21,2003-04-05,FIN,Finland,Speed Skating,1500m M,Winter,1968,Grenoble,Team,Gold,225.963,seconds,5,2,1,1,0,161,459,1908,3,No,Khristo Hristov,167.2,71.9,Disqualified (false start)
ATH-00076,Aysel Kwon,Female,29,1995-10-10,TUR,Turkey,Bobsled,2-woman W,Winter,1928,St. Moritz,Team,Bronze,237.012,seconds,2,4,2,1,1,40,99,1908,22,No,Jon Drummond,181.0,117.4,First from country
